                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9613,                 3.9593,                 4.2026,                0.00378,                0.47214,                0.00874,                0.00271,                 2.1887,                 4.2025,                 4.1569,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.9933,                 3.8592,                  4.152,                0.00373,                0.49845,                0.02692,                0.00593,                 2.1889,                 4.2077,                 4.1493,             0.00031046,             0.00031046,             0.00031046
                      3,                 2.8716,                  3.723,                 4.1038,                0.00342,                0.44582,                0.12982,                0.03048,                  2.185,                 4.2157,                 4.1322,             0.00046429,             0.00046429,             0.00046429
                      4,                 2.9764,                 3.4457,                 4.0075,                0.00375,                0.49845,                 0.0152,                0.00585,                 2.1747,                 4.2101,                 4.0995,             0.00061151,             0.00061151,             0.00061151
                      5,                 2.9089,                 3.3662,                 3.8373,                0.00372,                0.52477,                0.03376,                0.01077,                 2.1621,                  4.202,                 4.0665,             0.00075214,             0.00075214,             0.00075214
                      6,                  2.876,                 3.2464,                 3.6693,                0.00314,                0.46594,                0.04297,                0.01555,                 2.1567,                 4.3638,                 4.0527,             0.00088616,             0.00088616,             0.00088616
                      7,                  2.885,                 3.3206,                 3.6082,                0.00384,                0.50155,                0.02745,                 0.0103,                 2.1446,                 4.3414,                 3.9066,              0.0010136,              0.0010136,              0.0010136
                      8,                 2.7355,                 3.2534,                 3.4899,                0.00349,                 0.5805,                0.04693,                0.01177,                 2.1882,                 4.2404,                  3.824,              0.0011344,              0.0011344,              0.0011344
                      9,                 2.7556,                 3.1892,                 3.4373,                0.50722,                0.02632,                0.02203,                0.00716,                 2.1888,                 10.273,                  4.302,              0.0012486,              0.0012486,              0.0012486
                     10,                 2.7091,                 3.1244,                  3.351,                0.04668,                 0.2291,                0.02984,                0.01187,                 2.1533,                 12.315,                 4.4409,              0.0013562,              0.0013562,              0.0013562
                     11,                 2.6245,                 3.1416,                 3.2761,                0.04959,                0.14087,                0.02286,                 0.0087,                 2.1523,                 18.482,                 4.5356,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.5428,                 3.1404,                  3.177,                0.01185,                0.34056,                0.01071,                0.00359,                 2.6407,                 20.032,                 4.1575,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.4692,                 2.9218,                 3.1885,                 0.5098,                0.17647,                0.01432,                0.00408,                 2.6534,                 18.042,                 3.8775,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.3559,                 2.8255,                 3.0571,                0.00312,                0.49226,                0.00486,                0.00202,                 2.4087,                 58.669,                 3.9536,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.4366,                 2.8366,                 3.0815,                 0.0241,                0.41331,                0.05196,                0.01965,                 2.1466,                 36.472,                 4.1368,              0.0012049,              0.0012049,              0.0012049
                     16,                  2.246,                 2.7671,                 2.9376,                0.52778,                0.20588,                 0.0292,                 0.0082,                 2.1398,                 5.8477,                 3.7495,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.2961,                 2.6634,                 2.9219,                0.15315,                0.39628,                 0.0734,                0.02632,                 2.2569,                 7.4813,                 3.4448,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.3127,                 2.7703,                 2.9876,                0.09199,                  0.387,                0.13092,                0.05759,                 2.2797,                 3.6145,                 3.3354,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.2002,                 2.6303,                 2.8686,                0.18915,                 0.1595,                0.08331,                0.02483,                 2.2292,                 4.6633,                 3.4132,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.1759,                  2.722,                 2.8874,                0.23162,                0.46904,                0.29424,                0.11495,                 1.9692,                 2.8598,                 3.0121,              0.0010399,              0.0010399,              0.0010399
                     21,                  2.285,                 2.7216,                  2.931,                0.15539,                 0.2943,                0.14663,                0.06929,                 1.8002,                  3.051,                 2.9272,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.1666,                 2.6281,                 2.8397,                0.26737,                0.41044,                0.25763,                0.12951,                 1.7578,                 2.8706,                 2.8693,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.1302,                 2.5946,                 2.7879,                0.31758,                0.52679,                0.30542,                0.16403,                 1.7869,                 2.9163,                 2.7839,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.1531,                 2.5449,                 2.7968,                 0.2608,                 0.3673,                0.31759,                0.14632,                 1.8086,                 2.7571,                 2.8442,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.0032,                 2.3747,                 2.6534,                0.29336,                0.47833,                0.27009,                0.16216,                 1.6221,                 2.8218,                 2.6688,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.0428,                 2.4108,                  2.684,                0.33143,                0.53096,                0.34495,                0.17788,                 1.7182,                 2.7899,                  2.716,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.9665,                 2.4501,                   2.69,                0.32884,                0.72446,                 0.3941,                0.20615,                 1.7657,                 2.6407,                 2.7176,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.9723,                 2.3696,                 2.6229,                0.32537,                0.56438,                 0.3957,                0.22889,                 1.7261,                 2.5123,                 2.6603,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.9563,                 2.3467,                  2.598,                0.36404,                0.66254,                0.43433,                0.22472,                 1.7717,                 2.4497,                 2.6854,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.8761,                 2.3025,                 2.5439,                0.27554,                0.49845,                0.34679,                0.20666,                 1.6801,                 2.5801,                  2.675,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.8171,                 2.1957,                 2.4858,                0.39203,                0.63622,                0.47645,                0.27242,                 1.6191,                 2.5712,                 2.6288,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.8451,                 2.2195,                   2.47,                 0.3804,                 0.7115,                0.41545,                0.25088,                 1.4607,                 2.4822,                 2.4342,              0.0006438,              0.0006438,              0.0006438
                     33,                  1.887,                 2.2675,                 2.5166,                0.36269,                0.63622,                0.39462,                0.23896,                 1.4918,                 2.6518,                 2.4101,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.8012,                 2.1098,                 2.4119,                0.42923,                0.45201,                0.36132,                0.22106,                 1.4904,                 2.6014,                 2.4513,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.8378,                 2.2363,                 2.4572,                0.43445,                 0.4911,                0.45174,                0.25926,                 1.5268,                 2.4572,                 2.4767,             0.00054478,             0.00054478,             0.00054478
