epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.84,2.93896,3.99901,4.19662,0.00402,0.60606,0.01064,0.00277,2.15011,4.29023,4.15517,0.00020004,0.00020004,0.00020004
2,140.052,3.07591,3.86492,4.13936,0.00401,0.60606,0.00864,0.00244,2.15002,4.30052,4.13935,0.000408498,0.000408498,0.000408498
3,210.838,2.90197,3.74387,4.09653,0.00372,0.58523,0.03512,0.00714,2.15392,4.31558,4.10246,0.000608375,0.000608375,0.000608375
4,274.91,2.8745,3.50928,3.9049,0.00373,0.60606,0.02391,0.00658,2.13858,4.27967,4.0667,0.00079967,0.00079967,0.00079967
5,335.131,2.85668,3.32817,3.70292,0.0031,0.60606,0.00662,0.00239,2.08144,4.2416,4.00863,0.000982383,0.000982383,0.000982383
6,394.288,2.71827,3.29729,3.56666,0.0032,0.47917,0.00993,0.00311,2.03073,4.43599,3.76256,0.00115651,0.00115651,0.00115651
7,452.344,2.58816,3.26314,3.42149,0.55093,0.20455,0.05452,0.01551,2.18934,7.80854,3.61967,0.00132206,0.00132206,0.00132206
8,510.67,2.49242,3.13278,3.2395,0.53206,0.04545,0.05636,0.01756,2.19973,7.26014,3.84854,0.00143595,0.00143595,0.00143595
9,566.949,2.48007,3.17605,3.16958,0.51756,0.08333,0.01332,0.00401,2.18579,23.0696,4.08583,0.00140295,0.00140295,0.00140295
10,622.666,2.46094,3.04847,3.078,0.01625,0.10417,0.01122,0.0032,2.09468,6.31302,3.3906,0.00136994,0.00136994,0.00136994
11,682.016,2.32998,2.98663,2.93849,0.56007,0.08333,0.11251,0.03053,2.03846,14.008,3.04165,0.00133693,0.00133693,0.00133693
12,737.743,2.22084,2.87347,2.87652,0.61135,0.1875,0.14829,0.04562,2.17289,13.9327,3.41985,0.00130393,0.00130393,0.00130393
13,794.578,2.26789,2.74922,2.8759,0.15503,0.16856,0.08804,0.0381,2.15785,3.83221,3.14459,0.00127092,0.00127092,0.00127092
14,850.391,2.23542,2.73068,2.80443,0.2435,0.4053,0.21269,0.07169,2.07853,5.55725,3.13351,0.00123791,0.00123791,0.00123791
15,906.57,2.10147,2.62242,2.68701,0.31676,0.39773,0.26885,0.12447,1.95947,2.97191,2.80666,0.00120491,0.00120491,0.00120491
16,961.129,2.15343,2.57269,2.73563,0.26283,0.37689,0.19025,0.06999,2.10943,3.54459,2.85882,0.0011719,0.0011719,0.0011719
17,1015.79,2.06593,2.55785,2.62021,0.38157,0.58523,0.43513,0.19808,1.76689,3.29931,2.61377,0.00113889,0.00113889,0.00113889
18,1072.14,2.01572,2.42233,2.62475,0.30868,0.47159,0.24133,0.09854,1.76301,3.54549,2.66591,0.00110589,0.00110589,0.00110589
19,1127.93,2.00172,2.45886,2.60963,0.25116,0.36742,0.23677,0.09308,1.9012,2.91247,2.83957,0.00107288,0.00107288,0.00107288
20,1184.59,1.97218,2.31328,2.56951,0.46445,0.375,0.45545,0.19754,1.69684,2.86205,2.59448,0.00103987,0.00103987,0.00103987
21,1239.05,1.91956,2.36667,2.54401,0.53203,0.33191,0.45124,0.19256,1.66466,2.59321,2.53795,0.00100687,0.00100687,0.00100687
22,1293.77,1.87704,2.26766,2.51447,0.26558,0.39773,0.22747,0.10924,1.76381,3.37883,2.46675,0.000973861,0.000973861,0.000973861
23,1348.68,1.87257,2.27109,2.4772,0.51498,0.58712,0.48911,0.25678,1.70867,2.63193,2.55652,0.000940855,0.000940855,0.000940855
24,1403.91,1.82456,2.25258,2.43961,0.46565,0.64773,0.51262,0.24107,1.70036,2.36324,2.56537,0.000907848,0.000907848,0.000907848
25,1459.25,1.83695,2.18946,2.40775,0.2337,0.32576,0.2165,0.12089,1.7325,2.81779,2.65376,0.000874842,0.000874842,0.000874842
26,1514.88,1.77691,2.11487,2.36246,0.23447,0.32576,0.1946,0.11214,1.67064,2.9557,2.59823,0.000841835,0.000841835,0.000841835
27,1570.49,1.73821,2.11647,2.33709,0.5151,0.50299,0.55683,0.31009,1.54959,2.29503,2.40816,0.000808828,0.000808828,0.000808828
28,1625.3,1.72295,2.07875,2.29231,0.51729,0.48106,0.53661,0.34492,1.5115,2.27062,2.27314,0.000775822,0.000775822,0.000775822
29,1680.41,1.61882,1.91,2.24018,0.47128,0.62689,0.44976,0.27473,1.53752,2.32675,2.26895,0.000742815,0.000742815,0.000742815
30,1735.22,1.65783,1.88814,2.21043,0.43251,0.60417,0.50592,0.32621,1.45952,2.36763,2.27341,0.000709809,0.000709809,0.000709809
31,1790.45,1.64019,1.94447,2.22443,0.63517,0.5822,0.57454,0.34314,1.53998,2.12414,2.313,0.000676802,0.000676802,0.000676802
32,1846.02,1.58804,1.8729,2.19261,0.48694,0.74242,0.61756,0.37012,1.49368,2.06526,2.27493,0.000643795,0.000643795,0.000643795
33,1900.65,1.60182,1.88041,2.1691,0.46601,0.66908,0.51514,0.3209,1.47301,2.11097,2.29986,0.000610789,0.000610789,0.000610789
34,1955.45,1.56715,1.78595,2.17422,0.42435,0.68392,0.46904,0.29226,1.44902,2.18154,2.27366,0.000577782,0.000577782,0.000577782
35,2011.17,1.51094,1.85587,2.06781,0.5594,0.67424,0.65872,0.40045,1.43282,1.87256,2.19969,0.000544776,0.000544776,0.000544776
36,2065.61,1.51566,1.82475,2.11493,0.48191,0.61553,0.64198,0.40391,1.45511,1.97077,2.21229,0.000511769,0.000511769,0.000511769
37,2121.24,1.47289,1.72373,2.0338,0.51995,0.80184,0.6224,0.39402,1.33973,1.80529,2.15343,0.000478762,0.000478762,0.000478762
38,2175.1,1.48529,1.78749,2.09165,0.51249,0.76326,0.58279,0.39568,1.37197,1.88676,2.18592,0.000445756,0.000445756,0.000445756
39,2230.09,1.4362,1.68722,2.0348,0.49784,0.84069,0.61087,0.40515,1.35697,1.80343,2.15055,0.000412749,0.000412749,0.000412749
40,2285.3,1.41219,1.71859,2.02442,0.54513,0.73792,0.68387,0.44783,1.33209,1.71649,2.13637,0.000379743,0.000379743,0.000379743
41,2340.36,1.24751,1.91986,1.88827,0.61772,0.625,0.68644,0.42158,1.39526,1.8658,2.12975,0.000346736,0.000346736,0.000346736
42,2394.58,1.22948,1.79642,1.85699,0.49812,0.625,0.50481,0.31093,1.35579,2.13684,2.14409,0.000313729,0.000313729,0.000313729
43,2449.38,1.1917,1.70111,1.87823,0.61189,0.56447,0.63773,0.42257,1.30685,1.83853,2.12772,0.000280723,0.000280723,0.000280723
44,2506.26,1.17578,1.64721,1.81285,0.55915,0.73674,0.67813,0.47308,1.25753,1.65807,2.07747,0.000247716,0.000247716,0.000247716
45,2560.61,1.13694,1.56267,1.81247,0.54817,0.71043,0.64278,0.43475,1.28986,1.71662,2.10839,0.00021471,0.00021471,0.00021471
46,2615.43,1.10573,1.51804,1.74557,0.52117,0.67614,0.66438,0.44382,1.25583,1.66645,2.06998,0.000181703,0.000181703,0.000181703
47,2669.88,1.13142,1.57382,1.77611,0.5759,0.7178,0.67565,0.45603,1.25176,1.60515,2.0477,0.000148696,0.000148696,0.000148696
48,2724.18,1.10403,1.58838,1.75311,0.57862,0.7178,0.71014,0.47843,1.22915,1.51879,2.03835,0.00011569,0.00011569,0.00011569
49,2779.21,1.07305,1.45669,1.71425,0.57463,0.73864,0.69899,0.47316,1.21765,1.51688,2.01309,8.26832e-05,8.26832e-05,8.26832e-05
50,2834.9,1.04894,1.47947,1.69572,0.57996,0.74704,0.69787,0.48029,1.21403,1.54415,2.00374,4.96766e-05,4.96766e-05,4.96766e-05
